interaction_id,user_id,product_id,session_id,interaction_type,timestamp,dwell_time_ms
2ece1c7b-3244-4eeb-8d3e-f1b0cc09f20f,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,d3701c21-709a-4090-bab2-020261ce8a92,0003375f-8f69-44e1-9429-ec083de18495,view,29:18.0,30481
bef097f8-4624-406a-9168-fc16f6d9db7a,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,d3701c21-709a-4090-bab2-020261ce8a92,0003375f-8f69-44e1-9429-ec083de18495,view,29:50.7,37889
131590fb-aded-4eb2-b04a-158540271950,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,b1a8533d-7d06-48ae-b1d2-02a39ad1c623,0003375f-8f69-44e1-9429-ec083de18495,view,30:37.2,11801
dda794be-afc4-4b8c-9a5c-3594d513f261,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,b1a8533d-7d06-48ae-b1d2-02a39ad1c623,0003375f-8f69-44e1-9429-ec083de18495,view,30:37.2,11801
b68f3af4-29d1-4d85-884a-5e585d5d0a4a,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,2ee058a5-f098-4961-a46d-ba699b635b84,0003375f-8f69-44e1-9429-ec083de18495,add_to_wishlist,30:50.2,1404
a12277ae-84d0-4c5b-8c1a-28d80cf0fbb3,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,2ee058a5-f098-4961-a46d-ba699b635b84,0003375f-8f69-44e1-9429-ec083de18495,remove_from_wishlist,30:55.6,4687
9dc5b0c5-580f-4575-9ef1-005f6264c294,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,bc7a0ca1-564a-47cf-a592-8c5e99a37981,0003375f-8f69-44e1-9429-ec083de18495,view,31:01.7,10496
87d9d932-ab1e-4114-8492-70c8123e145d,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,d3701c21-709a-4090-bab2-020261ce8a92,0003375f-8f69-44e1-9429-ec083de18495,view,31:28.1,52825
14762704-355a-41bc-a600-2f429391ae4e,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,b1a8533d-7d06-48ae-b1d2-02a39ad1c623,0003375f-8f69-44e1-9429-ec083de18495,click,32:41.9,1346
0ae74ee8-8d5b-4d98-bf88-6ba363735856,8a49a58e-7e31-4616-8ac8-b1472ed4f5d8,894a28b3-1f78-4f3d-ad46-319be7de12a5,0003375f-8f69-44e1-9429-ec083de18495,add_to_cart,32:51.6,8643
